FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
46055,0.20722806313760234,0.0430316517818097,0.8888888888888888,0.2439,0.0,0.05556,0.0242,0.0,0.11143,0.0,0.0044,0.0,0.1092279516,0.44573135120922774,0.1358695652173913,0.3960068366005278
46061,0.1150093881803645,0.03149629255303641,0.8888888888888888,0.02741,0.00029,0.086,0.03648,0.025,0.06423,0.19167,0.01684,0.0340745103538252,0.0923555077,0.45441847803799235,0.1793478260869565,0.3935152923279493
46087,0.12804419409296808,0.023993935918990093,0.3333333333333333,0.05807,0.01179,0.07756,0.07651,0.1957999999999999,0.09404,0.13287,0.03124,0.0137464701152102,0.0888620429,0.40182733883792804,0.1847826086956522,0.3957425223554318
46095,0.17206556682880084,0.014975559032468099,1.0,0.2352199999999999,0.0,0.12628,0.3024,0.56,0.46255,0.0,0.03743,0.0829029601974142,0.1700399282,0.43608822477729764,0.1249999999999999,0.443750927037818
46103,0.2589661301196227,0.0169580470549363,0.3333333333333333,0.11892,0.01246,0.14083,0.11462,0.09583,0.12714,0.17574,0.01436,0.2842443986349338,0.0999566889,0.42466241309502034,0.2282608695652174,0.4067361575580814
46111,0.10521447952708086,0.05441152175391881,1.0,0.09355,0.00628,0.10407,0.11037,0.0,0.10152,0.4127,0.04567,0.0,0.0884517818,0.45441847803799235,0.1793478260869565,0.3935152923279493
46125,0.11150205314211532,0.02065091690071039,0.3333333333333333,0.05181,0.00569,0.08756,0.10231,0.00388,0.11193,0.13178,0.01239,0.0439822544769916,0.0897954451,0.4479435435276639,0.1956521739130435,0.3957425223554318
46137,0.2116519297307236,0.01952361978989514,0.8888888888888888,0.27246,0.00462,0.11581,0.39382,0.38298,0.36099,0.21277,0.29032,0.006748151262204,0.1744396144,0.41121348022167975,0.1413043478260869,0.3960068366005278
40059,0.17066430429961948,0.051777922469169395,1.0,0.11734,0.11853,0.1208799999999999,0.07016,0.01639,0.0881499999999999,0.36066,0.01157,0.0155174502725469,0.125130881,0.6323718970582639,0.2499999999999999,0.5376307670283591
40063,0.07575175088170892,0.020485709565504707,0.7777777777777778,0.15958,0.00676,0.15617,0.16523,0.1516,0.22242,0.38298,0.02946,0.0546316258003192,0.1515749674,0.7571419947314375,0.3967391304347827,0.6535229298913203
40073,0.09338035780946172,0.023964781683365566,0.6666666666666666,0.1485,0.05897,0.12259,0.07323,0.13747,0.0981,0.28302,0.0156299999999999,0.0382105372959292,0.1193602966,0.6623343336551317,0.375,0.578750916804038
